filmid,title,budget
tt1276419,a royal affair,10000000.0
tt1820488,war witch,2000000.0
tt1024648,argo,44500000.0
tt2125435,beasts of the southern wild,1800000.0
tt1853728,django unchained,100000000.0
tt1707386,les misérables,61000000.0
tt0454876,life of pi,120000000.0
tt0443272,lincoln,65000000.0
tt1045658,silver linings playbook,21000000.0
tt1790885,zero dark thirty,52500000.0
tt0481499,the croods,135000000.0
tt1690953,despicable me 2,76000000.0
tt1816518,ernest & celestine,8000000.0
tt2294629,frozen,0.0
tt2013293,the wind rises,35000000.0
tt2024519,the broken circle breakdown,0.0
tt2358891,the great beauty,13000000.0
tt2106476,the hunt,4000000.0
tt2852470,the missing picture,1000000.0
tt2852406,omar,0.0
tt1800241,american hustle,40000000.0
tt1535109,captain phillips,55000000.0
tt0790636,dallas buyers club,5000000.0
tt1454468,gravity,110000000.0
tt1798709,her,23000000.0
tt1821549,nebraska,12000000.0
tt2431286,philomena,12000000.0
tt2024544,12 years a slave,20000000.0
tt0993846,the wolf of wall street,100000000.0
tt2245084,big hero 6,165000000.0
tt0787474,the boxtrolls,60000000.0
tt1646971,how to train your dragon 2,145000000.0
tt1865505,song of the sea,0.0
tt2576852,the tale of the princess kaguya,49000000.0
tt2718492,ida,2600000.0
tt2802154,leviathan,0.0
tt2991224,tangerines,1500000.0
tt3409392,timbuktu,2500000.0
tt3011894,wild tales,3000000.0
tt2179136,american sniper,58000000.0
tt2562232,birdman or (the unexpected virtue of ignorance),18000000.0
tt1065073,boyhood,4000000.0
tt2278388,the grand budapest hotel,31000000.0
tt2084970,the imitation game,15000000.0
tt1020072,selma,20000000.0
tt2980516,the theory of everything,15000000.0
tt2582802,whiplash,3300000.0
tt2401878,anomalisa,8000000.0
tt3183630,the boy and the world,2000000.0
tt2096673,inside out,0.0
tt2872750,shaun the sheep movie,25000000.0
tt3398268,when marnie was there,20000000.0
tt4285496,embrace of the serpent,1200000.0
tt3966404,mustang,1400000.0
tt3808342,son of saul,1500000.0
tt3170902,theeb,535000.0
tt3830162,a war,5000000.0
tt1596363,the big short,28000000.0
tt3682448,bridge of spies,40000000.0
tt2381111,brooklyn,11000000.0
tt1392190,mad max: fury road,150000000.0
tt3659388,the martian,108000000.0
tt1663202,the revenant,135000000.0
tt3170832,room,0.0
tt1895587,spotlight,20000000.0
tt4302938,kubo and the two strings,55000000.0
tt3521164,moana,150000000.0
tt2321405,my life as a zucchini,8000000.0
tt3666024,the red turtle,6000000.0
tt2948356,zootopia,150000000.0
tt3841424,land of mine,6000000.0
tt4080728,a man called ove,7000000.0
tt5186714,the salesman,2000000.0
tt4239726,tanna,0.0
tt4048272,toni erdmann,0.0
tt2543164,arrival,47000000.0
tt2671706,fences,24000000.0
tt2119532,hacksaw ridge,40000000.0
tt2582782,hell or high water,12000000.0
tt4846340,hidden figures,25000000.0
tt3783958,la la land,30000000.0
tt3741834,lion,12000000.0
tt4034228,manchester by the sea,8500000.0
tt4975722,moonlight,0.0
tt3874544,the boss baby,125000000.0
tt3901826,the breadwinner,0.0
tt2380307,coco,175000000.0
tt3411444,ferdinand,111000000.0
tt3262342,loving vincent,5500000.0
tt5639354,a fantastic woman,2000000.0
tt7048622,the insult,4000000.0
tt6304162,loveless,5000000.0
tt5607714,on body and soul,3000000.0
tt4995790,the square,10000000.0
tt5726616,call me by your name,3500000.0
tt4555426,darkest hour,30000000.0
tt5013056,dunkirk,150000000.0
tt5052448,get out,5000000.0
tt4925292,lady bird,10000000.0
tt5776858,phantom thread,35000000.0
tt6294822,the post,50000000.0
tt5580390,the shape of water,19500000.0
tt5027774,"three billboards outside ebbing, missouri",12000000.0
tt3606756,incredibles 2,200000000.0
tt5104604,isle of dogs,0.0
tt6900448,mirai,9000000.0
tt5848272,ralph breaks the internet,175000000.0
tt4633694,spider-man: into the spider-verse,90000000.0
tt8267604,capernaum,4000000.0
tt6543652,cold war,0.0
tt5311542,never look away,30000000.0
tt6155172,roma,15000000.0
tt8075192,shoplifters,3000000.0
tt1825683,black panther,200000000.0
tt7349662,blackkklansman,15000000.0
tt1727824,bohemian rhapsody,52000000.0
tt5083738,the favourite,15000000.0
tt6966692,green book,23000000.0
tt1517451,a star is born,36000000.0
tt6266538,vice,0.0
tt2386490,how to train your dragon: the hidden world,129000000.0
tt9806192,i lost my body,6000000.0
tt4729430,klaus,40000000.0
tt6348138,missing link,100000000.0
tt1979376,toy story 4,200000000.0
tt8649186,corpus christi,0.0
tt8991268,honeyland,500.0
tt10199590,les misérables,61000000.0
tt8291806,pain and glory,11000000.0
tt6751668,parasite,11400000.0
tt1950186,ford v ferrari,97600000.0
tt1302006,the irishman,160000000.0
tt2584384,jojo rabbit,14000000.0
tt7286456,joker,0.0
tt3281548,little women,15000000.0
tt7653254,marriage story,18000000.0
tt8579674,1917,95000000.0
tt7131622,once upon a time... in hollywood,90000000.0
tt7146812,onward,200000000.0
tt7488208,over the moon,38000000.0
tt6193408,a shaun the sheep movie: farmageddon,25000000.0
tt2948372,soul,150000000.0
tt5198068,wolfwalkers,10000000.0
tt10288566,another round,4000000.0
tt9586294,better days,9000000.0
tt10706602,collective,1000000.0
tt10360862,the man who sold his skin,1500000.0
tt8633462,"quo vadis, aida?",2300000.0
tt10272386,the father,6000000.0
tt9784798,judas and the black messiah,26000000.0
tt10618286,mank,0.0
tt10633456,minari,2000000.0
tt9770150,nomadland,5000000.0
tt9620292,promising young woman,0.0
tt5363618,sound of metal,5400000.0
tt1070874,the trial of the chicago 7,35000000.0
tt2953050,encanto,120000000.0
tt8430054,flee,3000000.0
tt12801262,luca,50000000.0
tt7979580,the mitchells vs. the machines,85000000.0
tt5109280,raya and the last dragon,0.0
tt14039582,drive my car,2000000.0
tt12680684,the hand of god,5000000.0
tt10189300,lunana: a yak in the classroom,200.0
tt10370710,the worst person in the world,5000000.0
tt12789558,belfast,20000000.0
tt10366460,coda,10000000.0
tt11286314,don't look up,0.0
tt1160419,dune: part one,165000000.0
tt9620288,king richard,50000000.0
tt11271038,licorice pizza,40000000.0
tt7740496,nightmare alley,60000000.0
tt10293406,the power of the dog,39000000.0
tt3581652,west side story,6000000.0
tt1488589,guillermo del toro's pinocchio,35000000.0
tt15339456,marcel the shell with shoes on,6300000.0
tt3915174,puss in boots: the last wish,90000000.0
tt9288046,the sea beast,70000000.0
tt8097030,turning red,175000000.0
tt1016150,all quiet on the western front,0.0
tt15301048,"argentina, 1985",10000000.0
tt9660502,close,3000000.0
tt19652910,eo,2000000.0
tt15109082,the quiet girl,1000000.0
tt1630029,avatar: the way of water,460000000.0
tt11813216,the banshees of inisherin,20000000.0
tt3704428,elvis,85000000.0
tt6710474,everything everywhere all at once,25000000.0
tt14208870,the fabelmans,40000000.0
tt14444726,tár,35000000.0
tt1745960,top gun: maverick,170000000.0
tt7322224,triangle of sadness,15600000.0
tt13669038,women talking,10000000.0
tt6587046,the boy and the heron,25000000.0
tt15789038,elemental,175000000.0
tt19500164,nimona,0.0
tt13429870,robot dreams,50000000.0
tt9362722,spider-man: across the spider-verse,100000000.0
tt14225838,io capitano,3000000.0
tt27503384,perfect days,4000000.0
tt16277242,society of the snow,10000000.0
tt26612950,the teachers' lounge,4000000.0
tt7160372,the zone of interest,8000000.0
tt23561236,american fiction,7000000.0
tt17009710,anatomy of a fall,8000000.0
tt1517268,barbie,145000000.0
tt14849194,the holdovers,25000000.0
tt5537002,killers of the flower moon,200000000.0
tt5535276,maestro,0.0
tt15398776,oppenheimer,100000000.0
tt13238346,past lives,2000000.0
tt14230458,poor things,50000000.0
tt4772188,flow,5000000.0
tt22022452,inside out 2,200000000.0
tt23770030,memoir of a snail,1000000.0
tt17163970,wallace & gromit: vengeance most fowl,30000000.0
tt29623480,the wild robot,40000000.0
tt20221436,emilia pérez,3000000.0
tt10236164,the girl with the needle,2000000.0
tt14961016,i'm still here,0.0
tt32178949,the seed of the sacred fig,1500000.0
tt28607951,anora,2000000.0
tt8999762,the brutalist,12000000.0
tt11563598,a complete unknown,2000000.0
tt20215234,conclave,10000000.0
tt15239678,dune: part two,200000000.0
tt23055660,nickel boys,4000000.0
tt17526714,the substance,6000000.0
tt1262426,wicked,145000000.0
