IMDb ID,title,Worlwide boxoffice
tt1403865,true grit,"$252,278,285"
tt1399683,winter's bone,"$13,796,834"
tt1673702,a cat in paris,"$2,082,071"
tt1235830,chico & rita,"$2,347,919"
tt1302011,kung fu panda 2,"$665,692,281"
tt0448694,puss in boots,"$554,987,477"
tt1192628,rango,"$245,724,603"
tt1821593,bullhead,"$4,483,147"
tt1445520,footnote,"$2,451,259"
tt1417075,in darkness,"$9,955,885"
tt2011971,monsieur lazhar,"$9,074,711"
tt1832382,a separation,"$22,926,076"
tt1655442,the artist,"$133,471,171"
tt1033575,the descendants,"$177,243,185"
tt0477302,extremely loud & incredibly close,"$55,247,881"
tt1454029,the help,"$221,802,186"
tt0970179,hugo,"$185,770,310"
tt1605783,midnight in paris,"$151,487,383"
tt1210166,moneyball,"$110,206,216"
tt0478304,the tree of life,"$58,386,787"
tt1568911,war horse,"$177,584,879"
tt1217209,brave,"$538,983,207"
tt1142977,frankenweenie,"$85,613,658"
tt1623288,paranorman,"$107,139,399"
tt1430626,the pirates! band of misfits,"$123,069,765"
tt1772341,wreck-it ralph,"$471,222,950"
tt1602620,amour,"$29,664,140"
tt1613750,kon-tiki,"$22,842,887"
tt2059255,no,"$7,699,095"
tt1276419,a royal affair,"$14,758,997"
tt1820488,war witch,"$313,387"
tt1024648,argo,"$232,325,503"
tt2125435,beasts of the southern wild,"$21,107,746"
tt1853728,django unchained,"$426,076,293"
tt1707386,les misérables,"$442,757,529"
tt0454876,life of pi,"$609,016,565"
tt0443272,lincoln,"$275,293,450"
tt1045658,silver linings playbook,"$236,412,453"
tt1790885,zero dark thirty,"$132,820,716"
tt0481499,the croods,"$587,266,745"
tt1690953,despicable me 2,"$970,766,005"
tt1816518,ernest & celestine,"$8,170,333"
tt2294629,frozen,"$1,310,333,380"
tt2013293,the wind rises,"$137,076,028"
tt2024519,the broken circle breakdown,"$6,041,503"
tt2358891,the great beauty,"$25,467,399"
tt2106476,the hunt,"$15,886,373"
tt2852470,the missing picture,"$78,097"
tt2852406,omar,"$614,444"
tt1800241,american hustle,"$251,171,807"
tt1535109,captain phillips,"$218,791,811"
tt0790636,dallas buyers club,"$55,198,285"
tt1454468,gravity,"$723,719,539"
tt1798709,her,"$48,269,269"
tt1821549,nebraska,"$27,682,872"
tt2431286,philomena,"$100,129,872"
tt2024544,12 years a slave,"$187,734,091"
tt0993846,the wolf of wall street,"$407,039,432"
tt2245084,big hero 6,"$657,870,525"
tt0787474,the boxtrolls,"$108,255,770"
tt1646971,how to train your dragon 2,"$621,537,519"
tt1865505,song of the sea,"$4,228,034"
tt2576852,the tale of the princess kaguya,"$24,751,400"
tt2718492,ida,"$11,156,836"
tt2802154,leviathan,"$4,439,481"
tt2991224,tangerines,"$1,024,132"
tt3409392,timbuktu,"$7,179,391"
tt3011894,wild tales,"$31,478,893"
tt2179136,american sniper,"$547,659,020"
tt2562232,birdman or (the unexpected virtue of ignorance),"$103,215,094"
tt1065073,boyhood,"$48,137,666"
tt2278388,the grand budapest hotel,"$174,567,384"
tt2084970,the imitation game,"$233,555,708"
tt1020072,selma,"$67,782,762"
tt2980516,the theory of everything,"$123,726,688"
tt2582802,whiplash,"$50,360,880"
tt2401878,anomalisa,"$5,659,286"
tt3183630,boy and the world,"$277,143"
tt2096673,inside out,"$859,076,254"
tt2872750,shaun the sheep movie,"$110,549,295"
tt3398268,when marnie was there,"$35,012,681"
tt4285496,embrace of the serpent,"$3,217,212"
tt3966404,mustang,"$5,274,664"
tt3808342,son of saul,"$6,659,121"
tt3170902,theeb,"$768,449"
tt3830162,a war,"$1,114,663"
tt1596363,the big short,"$133,440,870"
tt3682448,bridge of spies,"$165,478,348"
tt2381111,brooklyn,"$62,402,155"
tt1392190,mad max: fury road,"$380,437,267"
tt3659388,the martian,"$630,621,406"
tt1663202,the revenant,"$532,950,503"
tt3170832,room,"$35,402,766"
tt1895587,spotlight,"$98,690,254"
tt4302938,kubo and the two strings,"$76,249,438"
tt3521164,moana,"$643,332,467"
