IMDb ID,title,domestic boxoffice,international boxoffice,Worlwide boxoffice,budget,ROI
tt0758732,beaufort,102591,168749,271340,0.0,inf
tt0813547,the counterfeiters,5488570,13326143,18814713,5000000.0,2.76
tt0879843,katyn,118095,14650356,14768451,0.0,inf
tt0416044,mongol,5705761,20821749,26527510,20000000.0,0.33
tt0488478,12,125120,7412333,7537453,0.0,inf
tt0783233,atonement,50927067,78338994,129266061,30000000.0,3.31
tt0467406,juno,143495265,88877416,232373066,7000000.0,32.2
tt0465538,michael clayton,49033882,43957953,92991835,21500000.0,3.33
tt0477348,no country for old men,74283625,97344115,171632777,25000000.0,5.87
tt0469494,there will be blood,40222514,36207867,76430381,25000000.0,2.06
tt0397892,bolt,114053579,195926415,309979994,150000000.0,1.07
tt0441773,kung fu panda,216064546,416311606,632384787,130000000.0,3.86
tt0910970,wall-e,223808164,303586398,527403656,180000000.0,1.93
tt0765432,the baader meinhof complex,476270,26461085,26937355,23000000.0,0.17
tt1068646,the class,3766810,25536695,29303505,7000000.0,3.19
tt1069238,departures,1498210,72738741,74236951,4500000.0,15.5
tt1173745,revanche,258388,628019,886407,0.0,inf
tt1185616,waltz with bashir,2283849,8895523,11179372,2000000.0,4.59
tt0421715,the curious case of benjamin button,127509326,208293460,335802786,160000000.0,1.1
tt0870111,frost/nixon,18622031,8804304,27426335,29000000.0,-0.05
tt1013753,milk,31841299,22748259,54662930,20000000.0,1.73
tt0976051,the reader,34194407,74708079,108902486,32500000.0,2.35
tt1010048,slumdog millionaire,141319928,237090614,378411362,14000000.0,26.03
tt0327597,coraline,116896576,68952667,185860104,60000000.0,2.1
tt0432283,fantastic mr. fox,21002919,37084225,58091644,40000000.0,0.45
tt0780521,the princess and the frog,104400899,162644866,267056816,105000000.0,1.54
tt0485601,the secret of kells,676775,1145174,1822189,8000000.0,-0.77
tt1049413,up,293004164,442094938,735103954,175000000.0,3.2
tt1077262,ajami,622403,709248,1331651,1000000.0,0.33
tt1206488,the milk of sorrow,10462,1547288,1557750,2000000.0,-0.22
tt1235166,a prophet,2087720,15785971,17873691,10000000.0,0.79
tt1305806,the secret in their eyes,6391436,28688214,35079650,4000000.0,7.77
